Ticker,Price,ATR%,Base_Duration_Days,RS_Rating
AAMI,45.71,3.45,37,
ABCB,69.41,3.0,48,
ACM,131.0,1.96,46,
ADM,62.9,3.05,47,
ADX,22.51,1.2,60,
AEE,105.21,1.35,60,
AEP,117.53,1.83,59,
AER,120.23,1.73,46,
AFL,106.73,1.69,51,
AHR,42.47,2.02,54,
AL,63.55,0.24,46,
ALHC,16.99,3.89,35,
ALLE,177.5,1.48,60,
ALNY,481.07,2.98,48,
AM,17.96,2.19,51,
AMG,233.85,2.99,41,
AN,213.64,2.45,47,
ANIP,91.95,2.55,42,
AORT,41.54,2.76,45,
BXB.AX,24.62,1.58,44,
QAN.AX,10.7,1.72,55,
MGR.AX,2.39,1.8,60,
HDFCBANK.NS,995.05,1.37,60,
BHARTIARTL.NS,1991.8,1.41,60,
SBIN.NS,887.45,1.35,56,
